gene	SSR	ens_Id	PGC_specific_score
A2M	2.28670922008699	ENSG00000175899	-0.359210942857502
A2ML1	1.64510968104709	ENSG00000166535	-0.216194858082704
A4GALT	0.307418688568274	ENSG00000128274	0.512269734444059
AAAS	2.85028143748884	ENSG00000094914	-0.454887744469512
AACS	0.524139874045519	ENSG00000081760	0.280552800001235
AADAT	2.17412627031982	ENSG00000109576	-0.337284763720203
AAED1	1.92749011361242	ENSG00000158122	-0.284992159166791
AAGAB	2.00610822507112	ENSG00000103591	-0.30235435853652
AAK1	1.53038077961273	ENSG00000115977	-0.184799502654008
AAMDC	3.87262526917604	ENSG00000087884	-0.588005474935308
AAMP	2.14508461582816	ENSG00000127837	-0.331444428204869
AANAT	2.13796862737643	ENSG00000129673	-0.330001328067677
AAR2	3.21677909883152	ENSG00000131043	-0.507421238255876
AARD	1.13386111771714	ENSG00000205002	-0.0545598627554301
AARS	2.40608894725981	ENSG00000090861	-0.381311678111928
AARS2	0.0587344804273713	ENSG00000124608	1.23110686871833
AARSD1	1.4104601359507	ENSG00000266967	-0.149360816133858
AASDH	1.70697418207522	ENSG00000157426	-0.232226952475565
AASDHPPT	2.91426379177512	ENSG00000149313	-0.464528860449469
AASS	2.08606994847949	ENSG00000008311	-0.319328866760381
AATF	1.1867992097109	ENSG00000275700	-0.0743772484483849
AATK	1.94966645261952	ENSG00000181409	-0.289960318963971
ABAT	1.55163129795978	ENSG00000183044	-0.190788531171727
ABCA1	1.02263259273705	ENSG00000165029	-0.00971963018621458
ABCA10	2.59997972174016	ENSG00000154263	-0.41496996075132
ABCA12	2.86066548814847	ENSG00000144452	-0.456467076559236
ABCA13	2.55974269629417	ENSG00000179869	-0.40819631250102
ABCA2	2.3165090117762	ENSG00000107331	-0.364833994052259
ABCA3	2.69189016961863	ENSG00000167972	-0.430057336494871
ABCA4	0.0668772623526212	ENSG00000198691	1.17472151322282
ABCA5	2.51635091798607	ENSG00000154265	-0.40077120558001
ABCA7	2.29601277508454	ENSG00000064687	-0.360974300160294
ABCB1	2.47116188782837	ENSG00000085563	-0.392901197319346
ABCB10	2.58133142478129	ENSG00000135776	-0.411843768477656
ABCB4	2.49990643660482	ENSG00000005471	-0.397923754741387
ABCB5	1.5525856045335	ENSG00000004846	-0.191055555097623
ABCB7	3.43682164355759	ENSG00000131269	-0.536156994683452
ABCB8	1.32287851478851	ENSG00000197150	-0.121519963023854
ABCB9	2.10573975878188	ENSG00000150967	-0.323404697187234
ABCC1	1.33417394223864	ENSG00000103222	-0.125212454190584
ABCC10	0.673271420098477	ENSG00000124574	0.171809820638193
ABCC12	1.27073157022199	ENSG00000140798	-0.104053819725178
ABCC2	0.311831925870487	ENSG00000023839	0.506079423080513
ABCC3	1.79870109350395	ENSG00000108846	-0.254958998683306
ABCC4	0.920603912620911	ENSG00000125257	0.0359271836609664
ABCC5	2.1420366299864	ENSG00000114770	-0.330826893230172
ABCC8	2.30666140494498	ENSG00000006071	-0.362983849069768
ABCC9	2.35174406272851	ENSG00000069431	-0.371390056267718
ABCD1	2.5722048307662	ENSG00000101986	-0.410305549528028
ABCD3	2.70197614545765	ENSG00000117528	-0.431681510510644
ABCD4	0.199046503099171	ENSG00000119688	0.701045447811479
ABCE1	3.28195436915803	ENSG00000164163	-0.516132538520659
ABCF1	2.99470778465727	ENSG00000204574	-0.476354451532571
ABCF2	1.72440034143311	ENSG00000033050	-0.236638100172631
ABCF3	1.84832965050155	ENSG00000161204	-0.266779430426411
ABCG1	1.51568672371885	ENSG00000160179	-0.180609446533689
ABCG2	2.55907222940949	ENSG00000118777	-0.408082543953335
ABCG4	2.1596342468989	ENSG00000172350	-0.33438020577887
ABCG5	2.63635988138958	ENSG00000138075	-0.421004694174441
ABHD10	2.39247075787713	ENSG00000144827	-0.378846638289963
ABHD11	1.58323223910897	ENSG00000106077	-0.19954462475858
ABHD12	1.51435807183521	ENSG00000100997	-0.180228576772776
ABHD12B	0.196378129884327	ENSG00000131969	0.706906880089921
ABHD13	2.10444407499517	ENSG00000139826	-0.323137388984626
ABHD14A	2.17874526796793	ENSG00000248487	-0.338206456871855
ABHD14B	1.12639520845177	ENSG00000114779	-0.0516907943660556
ABHD15	2.03682571505582	ENSG00000168792	-0.308953869339993
ABHD16A	1.34313222674388	ENSG00000204427	-0.128118769570033
ABHD17A	1.90869557920563	ENSG00000129968	-0.280736667621713
ABHD17B	2.62340133110162	ENSG00000107362	-0.418864734566782
ABHD17C	3.59885018625079	ENSG00000136379	-0.556163768120316
ABHD2	0.932605446964521	ENSG00000140526	0.0303020523388221
ABHD3	1.78555695629923	ENSG00000158201	-0.251773708021908
ABHD4	1.22730625376236	ENSG00000100439	-0.0889529471794656
ABHD5	2.36531912898107	ENSG00000011198	-0.37388974406131
ABHD6	1.34555334520751	ENSG00000163686	-0.128900920286326
ABHD8	2.11876539472854	ENSG00000127220	-0.326082871097065
ABI1	1.18569300696167	ENSG00000136754	-0.0739722584709318
ABI2	2.02940576599323	ENSG00000138443	-0.30736888996752
ABI3	2.49851670083047	ENSG00000108798	-0.397682256742094
ABL1	2.16509623305091	ENSG00000097007	-0.335477204409552
ABL2	2.08798597891248	ENSG00000143322	-0.319727577998143
ABLIM1	3.17936631508707	ENSG00000099204	-0.502340568636947
ABLIM2	2.07961765836181	ENSG00000163995	-0.317983496440199
ABLIM3	2.14004200189786	ENSG00000173210	-0.330422297187258
ABO	1.77859205367674	ENSG00000175164	-0.250076347660264
ABR	0.373155478055863	ENSG00000159842	0.428110178398484
ABRACL	2.29000859219299	ENSG00000146386	-0.359837111831156
ABT1	2.08955296210356	ENSG00000146109	-0.320053383308229
ABTB1	1.87992678327255	ENSG00000114626	-0.27414093530628
ABTB2	2.50966093428575	ENSG00000166016	-0.399615050438969
AC004381.6	2.26283053339011	ENSG00000005189	-0.354652030238679
AC005477.1	0.458868112652904	ENSG00000280188	0.338312120950035
AC005480.1	1.91473499617486	ENSG00000279461	-0.282108675086409
AC006449.2	1.5721125051384	ENSG00000279119	-0.196483622245661
AC007040.11	2.90903748083993	ENSG00000258881	-0.463749316852798
AC009065.4	2.24771985230968	ENSG00000279473	-0.351742181373112
AC010287.1	1.85006713380864	ENSG00000279816	-0.267187488032011
AC010642.1	1.54160073730357	ENSG00000267216	-0.187971909358083
AC016549.1	1.784382250935	ENSG00000281325	-0.25148789470894
AC024592.12	1.61585711249669	ENSG00000267740	-0.20840295421217
AC092835.2	2.89769463385966	ENSG00000233757	-0.462052616532908
AC108938.5	2.28268402908923	ENSG00000257207	-0.3584458002682
AC109829.1	0.179234187035483	ENSG00000233438	0.746579149669455
AC110615.1	1.40199210415255	ENSG00000279909	-0.146745567744312
AC138969.4	1.6930470089432	ENSG00000183889	-0.228669016845616
AC245100.1	2.5713876486582	ENSG00000280649	-0.410167553493303
AC253572.1	2.23720617443537	ENSG00000278882	-0.34970600926139
ACAA1	1.50121695150837	ENSG00000060971	-0.176443459754488
ACAA2	2.73715658934422	ENSG00000167315	-0.437299643571181
ACACA	1.89898554676214	ENSG00000278540	-0.278521659320832
ACACB	2.72959427532901	ENSG00000076555	-0.436098098659606
ACAD10	1.80140106351433	ENSG00000111271	-0.255610414807354
ACAD11	2.26850888972812	ENSG00000240303	-0.355740485498577
ACAD8	2.930861166411	ENSG00000151498	-0.466995246589357
ACAD9	1.68574770633525	ENSG00000177646	-0.226792577438624
ACADL	0.237344220525379	ENSG00000115361	0.62462133914889
ACADM	3.04893356217702	ENSG00000117054	-0.484147960969423
ACADS	1.40135518702191	ENSG00000122971	-0.146548225373712
ACADSB	4.216374537443	ENSG00000196177	-0.624939181976807
ACADVL	1.81334544028103	ENSG00000072778	-0.258480544590479
ACAN	2.61076439979169	ENSG00000157766	-0.416767682053878
ACAP1	3.08826391269777	ENSG00000072818	-0.489714406602449
ACAP2	2.03126625862857	ENSG00000114331	-0.307766854509738
ACAP3	2.39371545189301	ENSG00000131584	-0.379072523256091
ACAT1	2.74853949085263	ENSG00000075239	-0.439101981263974
ACAT2	1.93970997008767	ENSG00000120437	-0.287736798071032
ACBD3	1.83668661319999	ENSG00000182827	-0.264035060623402
ACBD4	1.03579574118263	ENSG00000181513	-0.0152741210237508
ACBD5	1.57634513840654	ENSG00000107897	-0.197651311690955
ACBD7	1.60372137383408	ENSG00000176244	-0.20512891736624
ACCS	3.00426923484278	ENSG00000110455	-0.477738850425021
ACD	2.93300103905869	ENSG00000102977	-0.467312216835777
ACE	1.01780460010875	ENSG00000159640	-0.007664409395729
ACE2	2.26013868299875	ENSG00000130234	-0.354135088445281
ACER2	0.998607710951584	ENSG00000177076	0.000605084775207147
ACER3	1.60668207269735	ENSG00000078124	-0.205929947869001
ACHE	2.06084675888635	ENSG00000087085	-0.314045699569442
ACIN1	1.79177809815731	ENSG00000100813	-0.253284223678198
ACKR2	2.21666235022341	ENSG00000144648	-0.345699544895031
ACKR3	1.24632035581818	ENSG00000144476	-0.0956296882955662
ACLY	0.435199054129463	ENSG00000131473	0.361312057213372
ACN9	2.57918810527893	ENSG00000196636	-0.411483017246725
ACO1	0.507540064181552	ENSG00000122729	0.294529669737498
ACO2	2.99355786923894	ENSG00000100412	-0.476187658021447
ACOT11	1.70625419297438	ENSG00000162390	-0.232043731627849
ACOT12	0.63559275610077	ENSG00000172497	0.196821061123863
ACOT13	2.0612708406523	ENSG00000112304	-0.314135059645679
ACOT2	2.03764536221332	ENSG00000119673	-0.309128600359387
ACOT4	2.14931969079079	ENSG00000177465	-0.332301017455281
ACOT7	2.13770479169663	ENSG00000097021	-0.329947730718777
ACOT8	1.44541920426969	ENSG00000101473	-0.159993820586047
ACOT9	2.63096266966184	ENSG00000123130	-0.420114685989585
ACOX1	2.07490971901032	ENSG00000161533	-0.316999204957209
ACOX2	1.41028404512606	ENSG00000168306	-0.149306592660447
ACOX3	1.63697226639176	ENSG00000087008	-0.214041321650761
ACOXL	2.15045051305853	ENSG00000153093	-0.33252945286412
ACP1	2.65097999110694	ENSG00000143727	-0.423406449806032
ACP2	0.533999390149822	ENSG00000134575	0.272459238954062
ACP5	1.38229484011121	ENSG00000102575	-0.140600686870501
ACP6	0.19960367098925	ENSG00000162836	0.699831475695373
ACPP	1.65422953029789	ENSG00000014257	-0.218595769319155
ACRBP	2.29850853778193	ENSG00000111644	-0.361446121270881
ACRC	2.14020931340326	ENSG00000147174	-0.330456249615859
ACSBG1	2.29354927706206	ENSG00000103740	-0.360508075414693
ACSF2	0.104258547892557	ENSG00000167107	0.981888328197045
ACSF3	0.739573214706397	ENSG00000176715	0.131018826171407
ACSL1	2.18358089553182	ENSG00000151726	-0.339169285944691
ACSL3	2.76210101862468	ENSG00000123983	-0.441239558032979
ACSL4	2.75127783531898	ENSG00000068366	-0.439534449442106
ACSL5	2.12274233687819	ENSG00000197142	-0.326897281748122
ACSL6	2.24701556304731	ENSG00000164398	-0.351606080395169
ACSM3	2.59529542464283	ENSG00000005187	-0.414186801101471
ACSM6	1.20917424976621	ENSG00000173124	-0.0824888899914555
ACSS1	2.16346626041385	ENSG00000154930	-0.335150126698901
ACSS2	1.41241092396544	ENSG00000131069	-0.149961067854218
ACSS3	2.97966386299786	ENSG00000111058	-0.4741672739155
ACTA1	2.22803571887843	ENSG00000143632	-0.34792214897362
ACTA2	1.81706281703675	ENSG00000107796	-0.259369941408674
ACTB	1.86857494377206	ENSG00000075624	-0.271510520978243
ACTC1	0.23529499642396	ENSG00000159251	0.628387308049515
ACTG1	1.70530826859744	ENSG00000184009	-0.231802897844293
ACTG2	0.223168935319466	ENSG00000163017	0.651366258472228
ACTL10	0.799883646430424	ENSG00000182584	0.0969731822434171
ACTL6A	3.7935555209071	ENSG00000136518	-0.579046444600727
ACTL6B	2.29003019782008	ENSG00000077080	-0.359841209265721
ACTL8	2.34750048138268	ENSG00000117148	-0.370605689995367
ACTN1	1.15785595609215	ENSG00000072110	-0.0636545340326736
ACTN2	2.33160028210585	ENSG00000077522	-0.36765409919373
ACTN3	2.19615691751996	ENSG00000248746	-0.341663367644329
ACTN4	0.29068092424334	ENSG00000130402	0.536583467602404
ACTR10	2.20422967960007	ENSG00000131966	-0.343256845799466
ACTR1A	0.756141374250072	ENSG00000138107	0.12139699773081
ACTR1B	2.05397049734464	ENSG00000115073	-0.312594201222095
ACTR2	2.47841516754944	ENSG00000138071	-0.394174058243918
ACTR3	0.714554615803857	ENSG00000115091	0.145964571021727
ACTR3B	2.22152906652865	ENSG00000133627	-0.346651999931342
ACTR3C	1.75005162298645	ENSG00000106526	-0.243050859684859
ACTR5	2.55179827653852	ENSG00000101442	-0.4068463397792
ACTR6	3.10934802053575	ENSG00000075089	-0.492669334117628
ACTR8	2.12836985103724	ENSG00000113812	-0.328047098391709
ACTRT3	3.05521613357473	ENSG00000184378	-0.485041938735247
ACVR1	0.111490041888702	ENSG00000115170	0.952763921368477
ACVR1B	0.807436412025187	ENSG00000135503	0.0928916696085806
ACVR1C	2.30559972716366	ENSG00000123612	-0.362783912077077
ACVR2A	2.35960607404158	ENSG00000121989	-0.372839505449028
ACVR2B	2.40509917331701	ENSG00000114739	-0.381132989040961
ACY1	1.8484900336882	ENSG00000243989	-0.26681711337497
ACY3	1.7474250449324	ENSG00000132744	-0.2423985559368
ACYP1	2.49002577548582	ENSG00000119640	-0.396203842715544
ACYP2	2.14583645763717	ENSG00000170634	-0.331596619655921
ADA	3.92701854812803	ENSG00000196839	-0.594062952538722
ADAD1	2.28588304458361	ENSG00000164113	-0.359054006290523
ADAD2	2.27160438211803	ENSG00000140955	-0.356332697803217
ADAL	2.30388637549101	ENSG00000168803	-0.362461056472489
ADAM10	0.55505538455651	ENSG00000137845	0.255663679927421
ADAM11	1.5320851020022	ENSG00000073670	-0.185282889515551
ADAM12	1.73889022127037	ENSG00000148848	-0.240272165210639
ADAM15	3.08753605074722	ENSG00000143537	-0.489612037214825
ADAM17	2.03523053297304	ENSG00000151694	-0.30861360939788
ADAM18	2.68620166826427	ENSG00000168619	-0.429138614485555
ADAM19	1.51614996356527	ENSG00000135074	-0.180742159823628
ADAM20	1.63125238205231	ENSG00000134007	-0.212521158865601
ADAM22	2.71706912297973	ENSG00000008277	-0.434100687128532
ADAM23	2.89711936389024	ENSG00000114948	-0.461966388890661
ADAM28	1.21960768920875	ENSG00000042980	-0.0862201537799315
ADAM32	2.90988758434121	ENSG00000197140	-0.463876211513976
ADAM33	2.51618253999716	ENSG00000149451	-0.400742144419426
ADAM8	1.13986909772461	ENSG00000151651	-0.0568549799329007
ADAM9	0.0926458704740628	ENSG00000168615	1.03317393382265
ADAMTS1	0.634405882532468	ENSG00000154734	0.197632798673514
ADAMTS10	2.65744907714954	ENSG00000142303	-0.424464951191628
ADAMTS12	1.38845245698433	ENSG00000151388	-0.14253101334601
ADAMTS13	2.70095931431066	ENSG00000160323	-0.431518042275768
ADAMTS14	0.484814543074762	ENSG00000138316	0.314424361031565
ADAMTS15	0.259421920436606	ENSG00000166106	0.58599333001584
ADAMTS16	2.30119814543744	ENSG00000145536	-0.361954015350588
ADAMTS17	2.54270014097789	ENSG00000140470	-0.405295147121382
ADAMTS18	0.30720636156477	ENSG00000140873	0.512569795268553
ADAMTS19	0.513347105458722	ENSG00000145808	0.289588882432885
ADAMTS2	0.318406621927654	ENSG00000087116	0.49701790878382
ADAMTS20	3.48434546581988	ENSG00000173157	-0.542121207891664
ADAMTS3	2.29636211678886	ENSG00000156140	-0.361040373674914
ADAMTS4	0.652141569704071	ENSG00000158859	0.185658115514539
ADAMTS5	2.20461140950121	ENSG00000154736	-0.343332050682883
ADAMTS6	1.73543774786338	ENSG00000049192	-0.239409039647123
ADAMTS7	2.31318954759336	ENSG00000136378	-0.364211221227622
ADAMTS8	0.04303154728832	ENSG00000134917	1.36621303767998
ADAMTS9	0.747679558064901	ENSG00000163638	0.126284493020532
ADAMTSL1	2.81735867739205	ENSG00000178031	-0.449842140452618
ADAMTSL2	2.13299090945954	ENSG00000197859	-0.328989004544612
ADAMTSL3	1.75452784930406	ENSG00000156218	-0.244160266084106
ADAMTSL4	1.40050885776978	ENSG00000143382	-0.146285859941715
ADAMTSL5	1.43971825372338	ENSG00000185761	-0.158277510966652
ADAP1	2.14372234222537	ENSG00000105963	-0.331168534263166
ADAP2	0.234622657871516	ENSG00000184060	0.629630049708065
ADAR	2.57247190548618	ENSG00000160710	-0.410350640437794
ADARB1	2.1016450650597	ENSG00000197381	-0.322559372347923
ADAT1	1.88650199449525	ENSG00000065457	-0.275657268693031
ADAT2	3.24885442908076	ENSG00000189007	-0.511730252415069
ADAT3	3.13141186577611	ENSG00000213638	-0.495740192902809
ADCK1	1.21320102595247	ENSG00000063761	-0.0839327689031411
ADCK2	2.26812951225419	ENSG00000133597	-0.355667849538084
ADCK3	2.62890485864234	ENSG00000163050	-0.41977486906022
ADCK4	2.25080178914794	ENSG00000123815	-0.352337251699998
ADCK5	1.38883083007038	ENSG00000173137	-0.142649348659627
ADCY1	0.515312102410261	ENSG00000164742	0.287929657755744
ADCY10	1.93164694538894	ENSG00000143199	-0.285927751644242
ADCY2	2.77988874819301	ENSG00000078295	-0.444027415697689
ADCY3	0.808953348907837	ENSG00000138031	0.0920765227586551
ADCY5	2.80484260785539	ENSG00000173175	-0.447908496088544
ADCY6	2.01911056358604	ENSG00000174233	-0.30516010093503
ADCY7	1.81361494079922	ENSG00000121281	-0.258545084908453
ADCY8	0.361819083111442	ENSG00000155897	0.441508531253325
ADCY9	2.0129827579867	ENSG00000162104	-0.303840054996303
ADCYAP1R1	3.19007469072974	ENSG00000078549	-0.503800851518633
ADD1	1.07242454315065	ENSG00000087274	-0.0303667445433349
ADD2	2.52478001374426	ENSG00000075340	-0.402223543651103
ADD3	2.41245913716233	ENSG00000148700	-0.382459965889318
ADH1C	2.05032822920455	ENSG00000248144	-0.311823391163917
ADH5	2.71743200561245	ENSG00000197894	-0.434158686168912
ADHFE1	1.90467022316078	ENSG00000147576	-0.279819792263881
ADI1	0.457083499906845	ENSG00000182551	0.340004455868285
ADIPOQ	0.25	ENSG00000181092	0.602059991327962
ADIPOR1	2.07222876555257	ENSG00000159346	-0.316437698048545
ADIPOR2	1.51206894803056	ENSG00000006831	-0.1795715947806
ADIRF	2.25435601457744	ENSG00000148671	-0.353022502196856
ADK	2.61194137882882	ENSG00000156110	-0.416963425613428
ADM	0.370102517903641	ENSG00000148926	0.431677960276578
ADM2	1.39760533390339	ENSG00000128165	-0.145384549445101
ADM5	1.75350383394877	ENSG00000224420	-0.243906719781807
ADNP	2.63039094692301	ENSG00000101126	-0.420020301141227
ADNP2	2.50269700423783	ENSG00000101544	-0.398408273758108
ADO	1.47433251641196	ENSG00000181915	-0.168595444009282
ADORA1	2.38203722454242	ENSG00000163485	-0.376948544001103
ADORA2B	0.293024114929181	ENSG00000170425	0.533096637155389
ADORA3	1.24138568288495	ENSG00000121933	-0.0939067322851438
ADPGK	1.59289056975363	ENSG00000159322	-0.202185941159214
ADPRH	2.93747642095184	ENSG00000144843	-0.467974389223077
ADPRHL1	2.45810359158181	ENSG00000153531	-0.390600181359365
ADPRHL2	3.84414179360647	ENSG00000116863	-0.584799398519175
ADPRM	2.92721680951406	ENSG00000170222	-0.46645489041755
