gs_name	oddsRatio	pval	num_pp	num_pn	num_np	num_nn	pp_genes	gs_size	FDR
HAD-like_dom	5.52808537686929	8.48200766237544e-05	9	71	421	18360	ATP11A, LPIN1, ATP13A1, ATP13A2, ATP12A, ATP8B1, PHOSPHO1, PMM1, CTDSP1	80	0.0210353790026911
REACTOME_CELL_JUNCTION_ORGANIZATION	4.9028826355525	0.000973825389415284	7	62	423	18369	PVR, CLDN15, JUP, PLEC, LAMB3, F11R, COL17A1	69	0.120754348287495
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	4.81577568134172	0.00240113828662611	6	54	424	18377	OTUD5, AGER, CASP8, CASP10, RNF125, NFKB2	60	0.170137798595222
PID_CASPASE_PATHWAY	4.80679738562092	0.00548942795197667	5	45	425	18386	TFAP2A, CASP10, SREBF1, ARHGDIB, CASP8	50	0.175255936943673
Glycoside_hydrolase_SF	4.80679738562092	0.00548942795197667	5	45	425	18386	HYAL1, AGL, CHI3L2, GLB1, FUCA1	50	0.175255936943673
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	4.59548872180451	0.000143169957233325	10	95	420	18336	B3GALT6, CHST12, SLC9A1, HYAL1, ST3GAL1, GLB1, HS6ST1, CHST2, CHPF2, CSGALNACT1	105	0.0236707662625764
Phox	4.50563725490196	0.00703412943803979	5	48	425	18383	SH3PXD2A, PXDC1, SNX8, SGK1, SNX21	53	0.205231070662808
CH-domain	4.46881518564873	0.00159443747302545	7	68	423	18363	DMD, MICALL1, CAMSAP3, VAV2, PLEC, LCP1, FLNB	75	0.158168197324125
Immunoglobulin	4.33278301886792	0.00388803269397348	6	60	424	18371	VSIG10, BTLA, AGER, IL6R, MERTK, F11R	66	0.175255936943673
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	4.21962831625952	0.00215483127018077	7	72	423	18359	SLC44A2, PLBD1, LPIN1, MGLL, PTDSS2, LPCAT4, PHOSPHO1	79	0.170137798595222
